EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,jump_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_state_norm_Mean,Training/pf_state_norm_Std,Training/pf_state_norm_Max,Training/pf_state_norm_Min,Training/pf_task_norm_Mean,Training/pf_task_norm_Std,Training/pf_task_norm_Max,Training/pf_task_norm_Min,Training/pf_action_norm_Mean,Training/pf_action_norm_Std,Training/pf_action_norm_Max,Training/pf_action_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,3.63763165473938,2200,-4059.85845,-1460.16127,-9.55507,0.16015,3.46566,0.00145,-4059.85845,-5.20206,0.05354,-5.06482,-5.37053,0.97044,0.01681,0.99970,0.94175,-0.40203,0.23323,-0.00000,-0.80412,-5.45455,0.15377,-5.07614,-5.77932,2.23115,1.02332,4.80753,0.89337,2.28405,0.97713,4.80765,1.01019,0.00080,0.00164,0.01312,0.00013,0.00023,0.00032,0.00271,0.00006,0.40955,0.17569,1.46547,0.16871,8.34449,6.75777,33.61665,0.07958,7.82510,5.88887,28.14540,0.10203,-0.13224,0.01859,-0.00028,-0.17923,0.00715,0.00181,0.01252,0.00297,-0.12103,0.01833,0.00506,-0.17306,-0.14424,0.02013,-0.00913,-0.19314,-5.46278,0.01382,-5.36854,-5.49187,0.34691,0.03532,0.62079,0.29204,-4.50077,0.17524,-3.30912,-4.90055,-8.13123,0.66432,-6.86873,-10.47263,0.00852,0.00801,0.02375,-0.00312,0.02219,0.00755,0.04108,0.00277,0.04236,0.01657,0.08491,0.00497,-0.02754,0.01388,-0.00018,-0.08485
1,2.8747501373291016,2400,-4001.18899,-948.63211,-4.74625,0.00178,2.82938,0.00148,-3942.51952,-5.27841,0.05332,-5.12515,-5.39292,0.91395,0.01581,0.94147,0.88698,-1.20679,0.23129,-0.80866,-1.60742,-5.11144,0.30109,-4.41577,-5.73970,0.83395,0.14278,1.17249,0.57523,0.90884,0.15944,1.33667,0.60787,0.04124,0.01527,0.08717,0.01142,0.00067,0.00028,0.00182,0.00022,0.32254,0.04618,0.47337,0.22273,32.93639,13.12822,74.63438,8.31586,32.09587,16.43538,96.26102,10.05370,-0.14556,0.00758,-0.11819,-0.16160,0.01222,0.00221,0.01783,0.00795,-0.11874,0.00939,-0.08990,-0.13441,-0.19581,0.02069,-0.14553,-0.26930,-5.43593,0.01792,-5.39258,-5.48719,0.41391,0.03394,0.49782,0.34621,-3.98809,0.30633,-3.07363,-4.56038,-8.35623,0.84427,-7.06162,-11.69563,0.02269,0.00773,0.04032,0.00455,0.07258,0.01514,0.10700,0.04242,0.23547,0.07640,0.39777,0.08406,-0.19881,0.06467,-0.08469,-0.35900
2,2.725933074951172,2600,-3992.59283,-1086.72529,-3.59553,0.00199,2.72263,0.00126,-3975.40051,-5.21703,0.04930,-5.04578,-5.32636,0.86084,0.01486,0.88672,0.83549,-2.00435,0.22837,-1.61000,-2.39276,-4.48729,0.42685,-3.49531,-5.49785,0.84194,0.11061,1.17984,0.61680,0.92739,0.11634,1.34517,0.68095,0.09075,0.02579,0.20099,0.03798,0.00089,0.00035,0.00237,0.00031,0.32782,0.04754,0.49626,0.19379,62.49667,15.52723,112.64568,29.04326,63.36791,16.01925,114.13439,22.47588,-0.15871,0.00646,-0.14456,-0.17580,0.01419,0.00269,0.02012,0.00860,-0.12312,0.00919,-0.10275,-0.14255,-0.24114,0.03013,-0.18475,-0.31189,-5.39125,0.02638,-5.28415,-5.45052,0.50048,0.04394,0.63684,0.40815,-3.47040,0.36832,-2.35939,-4.14668,-8.53584,0.80448,-7.32662,-11.67690,0.03620,0.00578,0.04865,0.02185,0.10965,0.01620,0.15546,0.08188,0.55600,0.14213,0.86871,0.29707,-0.28700,0.04182,-0.20883,-0.41856
3,2.9623935222625732,2800,-3960.68580,-1252.40052,-6.51323,0.00177,2.94551,0.00151,-3864.96474,-5.27217,0.04987,-5.15234,-5.42541,0.81094,0.01395,0.83524,0.78715,-2.78764,0.22303,-2.39588,-3.16958,-3.20747,0.54017,-2.07750,-4.55756,1.05771,0.22807,2.08337,0.69524,1.09142,0.13733,1.52292,0.74125,0.20615,0.05447,0.40761,0.10335,0.00134,0.00041,0.00285,0.00052,0.40099,0.06108,0.57216,0.27139,93.55000,34.73032,214.71407,23.37239,93.41788,24.16942,150.49278,26.93561,-0.17043,0.00693,-0.15331,-0.18771,0.01975,0.00305,0.02694,0.01228,-0.12242,0.01017,-0.09600,-0.14430,-0.30050,0.02724,-0.24470,-0.38235,-5.31413,0.03723,-5.22051,-5.39592,0.62474,0.04901,0.73894,0.52777,-2.97380,0.35899,-1.93661,-3.86662,-8.57596,0.65339,-7.25678,-11.05446,0.04053,0.00840,0.06113,0.02098,0.15813,0.01715,0.19597,0.12708,0.81873,0.09296,1.04568,0.60280,-0.48783,0.08737,-0.34459,-0.74319
4,3.099808692932129,3000,-3723.58861,-882.27062,-4.31497,0.00179,3.07502,0.00144,-2775.19985,-5.17399,0.05162,-5.05724,-5.31304,0.76414,0.01307,0.78691,0.74187,-3.54426,0.21284,-3.16311,-3.90184,-1.72236,0.56393,-0.53033,-3.29828,1.39280,0.15631,1.90414,0.95217,1.43837,0.20369,2.15068,0.93866,0.32079,0.06974,0.54254,0.18926,0.00160,0.00054,0.00366,0.00075,0.44023,0.06516,0.68756,0.28022,127.37070,23.40678,183.73033,75.40980,126.62612,33.60974,231.91362,36.37082,-0.18508,0.00710,-0.17045,-0.20385,0.02701,0.00368,0.03596,0.01967,-0.12509,0.00857,-0.10421,-0.14887,-0.36939,0.04154,-0.27429,-0.46103,-5.18594,0.05663,-5.04329,-5.30463,0.79078,0.06541,0.95678,0.63765,-2.31779,0.48602,-0.60382,-3.31086,-8.91649,0.73249,-7.44784,-11.63250,0.05097,0.01024,0.07706,0.02996,0.21480,0.02093,0.26158,0.17614,0.95837,0.11897,1.27773,0.61216,-0.74166,0.12555,-0.47784,-1.03318
5,3.026059627532959,3200,-3740.78089,-1225.24479,-6.04227,0.00205,3.02275,0.00121,-3826.74230,-5.17167,0.04729,-5.06857,-5.34929,0.72033,0.01223,0.74165,0.69949,-4.26900,0.20305,-3.91424,-4.62944,-0.27417,0.58255,1.15679,-1.30915,1.68184,0.32127,2.57657,1.14905,1.76193,0.23530,2.47156,1.09777,0.47316,0.10189,0.80725,0.29355,0.00225,0.00064,0.00455,0.00108,0.52252,0.08078,0.74965,0.33530,152.44527,46.19934,276.50815,48.23221,164.43157,28.94471,250.34409,87.67448,-0.20478,0.00975,-0.18365,-0.23011,0.03249,0.00301,0.03929,0.02468,-0.13686,0.00886,-0.11096,-0.15609,-0.41876,0.03394,-0.33027,-0.52029,-5.02252,0.06742,-4.82331,-5.15089,0.96449,0.06225,1.12485,0.82914,-1.40481,0.50990,0.42122,-2.61579,-9.20194,0.78249,-7.94058,-13.61736,0.04739,0.01196,0.07174,0.01839,0.27200,0.01817,0.31448,0.23945,1.10708,0.09615,1.43169,0.88140,-0.95939,0.09992,-0.71210,-1.20132
6,3.0754401683807373,3400,-3857.96568,-692.99772,-2.33917,0.00193,3.07201,0.00143,-4561.07436,-5.24125,0.05258,-5.09228,-5.40234,0.67928,0.01149,0.69928,0.65970,-4.98001,0.20091,-4.60135,-5.33825,1.77359,0.80903,3.49387,-0.19652,1.95462,0.28542,2.82903,1.37071,2.02216,0.28144,2.93452,1.43677,0.59218,0.09532,0.94203,0.41407,0.00332,0.00156,0.01053,0.00135,0.56278,0.08183,0.88227,0.34752,200.66877,45.00445,303.14062,94.51715,193.19122,41.16856,328.88058,90.25336,-0.22030,0.00884,-0.19974,-0.23623,0.03732,0.00281,0.04292,0.02875,-0.13487,0.01256,-0.10650,-0.16082,-0.45046,0.02727,-0.37272,-0.54120,-4.88474,0.07168,-4.73009,-5.07988,1.08035,0.05945,1.22803,0.92902,-0.75477,0.56699,1.21128,-1.93430,-9.45174,0.84773,-7.96498,-12.42634,0.03914,0.01379,0.07825,0.01240,0.31056,0.01734,0.34564,0.26853,1.15655,0.09013,1.41002,0.89020,-1.11343,0.11391,-0.85718,-1.39470
7,3.0647614002227783,3600,-4355.65331,-1025.85942,-5.15779,0.00178,3.06179,0.00114,-7839.46672,-5.22590,0.04993,-5.09914,-5.36216,0.64076,0.01076,0.65951,0.62242,-5.65135,0.18743,-5.29705,-6.00716,3.98364,0.87610,6.31859,1.87252,2.14146,0.35355,3.35946,1.41343,2.31015,0.77677,7.35785,1.37461,0.76835,0.13057,1.17068,0.50189,0.00677,0.00413,0.02082,0.00170,0.63512,0.10668,0.94663,0.40099,220.81377,57.57159,405.96500,80.80935,242.26062,95.98815,747.82806,75.36974,-0.23762,0.00916,-0.21511,-0.25897,0.04307,0.00372,0.05219,0.03533,-0.14200,0.01153,-0.11841,-0.16150,-0.48896,0.03095,-0.42359,-0.58118,-4.70343,0.08556,-4.48121,-4.93818,1.21779,0.06231,1.34294,0.99937,-0.22461,0.62169,1.73434,-1.65789,-9.69658,0.86285,-8.20812,-13.60105,0.03254,0.01550,0.07386,0.00079,0.35423,0.01793,0.39380,0.30149,1.25679,0.11276,1.70679,1.04004,-1.18562,0.10867,-0.97370,-1.49729
8,3.087310552597046,3800,-4558.06496,-1322.34095,-6.75554,0.00188,3.08406,0.00130,-6177.35816,-5.24618,0.04706,-5.12111,-5.40287,0.60460,0.01013,0.62224,0.58733,-6.32314,0.18458,-5.95525,-6.63966,6.49975,1.07264,8.80858,3.63139,2.34679,0.30140,3.20539,1.59790,3.99928,1.11782,6.69935,2.24115,0.95196,0.16187,1.71157,0.66217,0.00741,0.00426,0.02399,0.00241,0.67864,0.11342,1.13113,0.43540,246.16677,44.30357,366.73291,146.40349,384.13455,112.50030,643.76471,134.81616,-0.25047,0.01065,-0.22636,-0.27521,0.04959,0.00361,0.05991,0.03968,-0.14344,0.01368,-0.11447,-0.17090,-0.51721,0.03131,-0.45046,-0.60141,-4.57197,0.08522,-4.34584,-4.79453,1.30863,0.05778,1.48170,1.18508,0.45163,0.66979,2.83781,-1.10811,-9.91797,0.94317,-8.25240,-14.85118,0.02393,0.01560,0.07086,-0.01305,0.38207,0.01495,0.41593,0.35133,1.32391,0.10982,1.68255,1.03225,-1.26187,0.10519,-1.05251,-1.53312
9,2.634389877319336,4000,-4625.03518,-975.35175,-4.94228,0.00187,2.63126,0.00122,-5227.76721,-5.19808,0.05081,-5.07302,-5.38505,0.57060,0.00951,0.58716,0.55439,-6.95527,0.16936,-6.65687,-7.27566,8.88420,1.08960,11.64915,6.31546,2.51943,0.44945,4.97093,1.64555,4.21276,1.14614,7.27341,2.43152,1.10431,0.15896,1.62846,0.70915,0.00930,0.00525,0.02989,0.00272,0.71364,0.10965,1.00211,0.41798,265.02941,59.56038,475.34329,85.28748,379.88523,116.12843,650.46484,149.28752,-0.26879,0.01005,-0.24661,-0.29094,0.05519,0.00386,0.06512,0.04755,-0.14875,0.01167,-0.12814,-0.17222,-0.55990,0.02751,-0.49433,-0.65334,-4.40181,0.09230,-4.16429,-4.59486,1.41932,0.05689,1.58064,1.29360,1.26735,0.74784,3.37255,-0.49747,-9.92298,0.94225,-8.23986,-13.04431,0.01648,0.01912,0.06882,-0.03042,0.41295,0.01526,0.44574,0.38426,1.39291,0.09229,1.63955,1.14925,-1.32850,0.08599,-1.08953,-1.64113
