EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,forward_5_v2_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/embedding_norm_Mean,Training/embedding_norm_Std,Training/embedding_norm_Max,Training/embedding_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,4.175445556640625,2200,-5484.19300,-996.46813,-5.60489,0.10006,4.06973,0.00111,-5484.19300,-5.02121,0.02985,-4.94203,-5.10818,1.03075,0.01785,1.06182,1.00030,-1.27102,0.73765,-0.00000,-2.53320,99.91860,20.59182,118.34216,47.80070,657.60904,975.48107,3302.06812,120.46355,654.52404,976.60278,3302.38745,114.83337,0.00110,0.00015,0.00150,0.00069,1634.31566,2051.45857,10094.95215,101.66724,1581.43475,2209.65059,11252.07715,118.89862,1.24276,0.04230,1.34855,1.11705,1.60998,0.03804,1.71592,1.50481,2.00000,0.00000,2.00000,2.00000,-7.84365,0.86699,-5.90816,-8.87091,48.60306,0.59620,50.04663,46.97879,19.57331,0.39116,20.62245,18.27555,68.46780,2.05911,73.14221,65.03543,-2.21046,2.51571,2.30419,-13.03790,1.98462,0.18830,2.50904,1.35555,55.17490,3.58872,65.09850,47.51458,803.31079,156.18225,948.46881,361.92502,-627.71427,133.70280,-266.20511,-734.31976
1,3.746438503265381,2400,-5502.71194,-859.06932,-4.75418,0.00187,3.74341,0.00111,-5521.23088,-4.98928,0.02573,-4.92708,-5.06587,1.09405,0.01871,1.12667,1.06214,-3.73849,0.71740,-2.52213,-5.01568,133.88557,11.88740,157.41696,113.78164,142.58571,8.19696,171.45915,122.63413,133.65331,7.55431,155.20398,112.28191,0.00114,0.00011,0.00142,0.00086,968.11792,570.37198,3017.28760,180.48145,755.42269,343.44675,2056.54956,224.64395,1.20466,0.03999,1.30510,1.09397,1.63685,0.03653,1.73900,1.52193,2.00000,0.00000,2.00000,2.00000,-7.82634,0.93278,-5.90816,-8.87091,47.79479,0.50615,49.07728,46.59801,19.86388,0.30635,20.67476,18.90338,69.35520,2.18847,73.72646,65.17311,-2.31308,2.35885,2.42846,-10.04276,1.88556,0.19304,2.46080,1.42628,54.07236,3.66971,65.92327,46.52554,796.93409,152.67632,948.46881,462.74350,-622.49492,131.23976,-336.15759,-734.31976
2,3.802682638168335,2600,-5495.30696,-1063.16142,-5.60228,0.00139,3.79449,0.00135,-5480.49700,-5.01952,0.02770,-4.93496,-5.09309,1.16137,0.02017,1.19646,1.12701,-6.30833,0.74700,-4.88658,-7.78233,184.38572,16.70585,217.73009,153.09666,151.14187,10.97826,181.97876,122.83203,140.57637,8.95358,166.61739,117.01055,0.00127,0.00014,0.00164,0.00086,1387.14970,542.03095,3026.62842,467.75693,1350.62709,511.68384,2683.14062,440.10867,1.24145,0.04362,1.35062,1.14173,1.60662,0.03872,1.70965,1.49482,2.00000,0.00000,2.00000,2.00000,-7.77272,0.95135,-5.90816,-8.87091,48.28995,0.60774,49.93606,46.80267,19.65839,0.38948,20.55871,18.69485,70.07277,1.81298,73.58625,65.78667,-2.18816,2.05198,1.15832,-8.94073,1.89085,0.18266,2.35724,1.25610,53.62267,3.16187,61.88784,46.61475,791.04515,154.24498,948.46881,370.83743,-619.40140,133.46377,-286.67599,-734.31976
3,3.862661600112915,2800,-5494.09785,-913.52979,-3.87612,0.00178,3.85953,0.00129,-5490.47052,-5.04656,0.02596,-4.98413,-5.11533,1.23370,0.02161,1.27131,1.19682,-8.97395,0.76785,-7.59495,-10.38637,247.96264,19.46114,286.25974,212.64641,185.49574,15.96329,230.57152,145.79495,166.54591,13.28234,209.67415,133.79558,0.00143,0.00016,0.00193,0.00096,2604.90235,988.83736,5603.07666,837.21594,2453.77938,947.04215,5177.57178,834.61823,1.27274,0.04351,1.40109,1.15026,1.58038,0.04070,1.67780,1.45607,2.00000,0.00000,2.00000,2.00000,-7.77613,0.90278,-6.09355,-8.87091,48.82018,0.58833,50.35404,46.95332,19.40957,0.40175,20.67278,18.27261,69.63616,1.96861,73.45627,65.10124,-2.25683,2.25333,1.71205,-13.16487,1.92672,0.17172,2.43143,1.46494,53.54972,3.43578,64.25536,46.29865,791.97737,162.49252,948.46881,370.83743,-615.54287,136.93337,-287.29193,-734.31976
4,3.65339732170105,3000,-5486.02972,-1089.90806,-5.63285,0.00173,3.64351,0.00133,-5453.75719,-5.03240,0.02728,-4.95403,-5.10432,1.31073,0.02287,1.35052,1.27170,-11.55434,0.76119,-10.16816,-13.08993,316.65228,21.21716,356.79025,280.43124,253.50168,23.81470,310.56799,172.14595,238.69724,35.15103,346.60632,147.56741,0.00161,0.00022,0.00242,0.00109,4461.05223,1337.91171,9304.78320,1408.91040,5705.04402,3226.28581,15813.84277,1718.52417,1.26809,0.04265,1.39811,1.14770,1.58941,0.03978,1.70675,1.46359,2.00000,0.00000,2.00000,2.00000,-8.18227,0.88656,-5.81836,-8.87091,48.77407,0.58863,50.41647,47.24557,19.40516,0.37616,20.31448,18.47960,69.89232,1.88458,74.04015,65.09631,-2.34241,2.26436,1.85915,-10.34879,1.90884,0.17109,2.43895,1.54207,53.09859,3.49497,65.07870,46.06818,783.17782,159.28205,948.46881,339.26480,-612.52803,138.20466,-256.98633,-734.31976
5,3.8424105644226074,3200,-5480.30591,-1078.58803,-5.59843,0.00166,3.82810,0.00115,-5451.68689,-5.00345,0.02951,-4.92932,-5.07568,1.39183,0.02396,1.43355,1.35093,-13.94404,0.74489,-12.55341,-15.42643,386.23039,21.77146,431.96490,344.86166,368.12252,33.76961,484.58005,266.66220,346.86157,30.30337,445.31241,267.00244,0.00193,0.00025,0.00259,0.00129,7650.51195,2496.38398,15928.78320,3221.22607,7241.17322,2270.61475,17251.37109,3142.21558,1.22945,0.03885,1.33342,1.09583,1.62108,0.03481,1.72515,1.53566,2.00000,0.00000,2.00000,2.00000,-8.25889,0.83223,-6.09355,-8.87091,48.23241,0.50303,49.46159,46.65100,19.65914,0.34503,20.66469,18.73378,70.04088,1.98058,73.27625,65.21252,-2.55228,2.09977,1.92985,-10.88732,1.88940,0.17069,2.35050,1.39439,52.50234,3.07692,62.82930,45.99974,764.11523,164.94582,948.46881,368.90390,-596.12691,140.87874,-287.29193,-734.31976
6,3.818997621536255,3400,-5474.02914,-982.80404,-5.58875,0.00202,3.80496,0.00173,-5436.36853,-5.02254,0.02626,-4.95846,-5.11271,1.47780,0.02567,1.52244,1.43398,-16.61908,0.75077,-15.11458,-18.34595,467.47462,23.80462,515.27734,419.07748,449.14792,41.83325,612.48090,359.03009,425.78348,42.16509,568.02753,332.71518,0.00206,0.00028,0.00308,0.00140,10483.47799,3187.44486,28692.52148,4504.75732,10637.92047,3481.45674,22491.31836,3995.43799,1.25315,0.04117,1.39620,1.15840,1.60025,0.03828,1.70837,1.44499,2.00000,0.00000,2.00000,2.00000,-8.22566,0.82163,-5.91087,-8.87091,48.60428,0.54697,50.16201,47.32483,19.44037,0.35283,20.17957,18.41893,69.77604,1.83506,73.34349,65.17345,-2.41605,2.08073,1.09583,-10.27971,1.84456,0.14871,2.19811,1.44732,52.42105,3.17902,60.60227,44.99525,768.23226,169.36331,948.46881,310.19980,-593.47570,144.15859,-256.98633,-734.31976
7,3.6445677280426025,3600,-5477.58618,-888.26056,-5.60515,0.00241,3.64078,0.00130,-5502.48547,-4.98908,0.02796,-4.91502,-5.06023,1.56893,0.02693,1.61576,1.52289,-18.92073,0.73292,-17.49528,-20.55567,546.71595,25.08846,597.15479,501.26163,619.30735,53.19228,759.78723,474.50156,599.32687,52.92762,750.83441,457.99582,0.00231,0.00034,0.00362,0.00127,16941.20154,4977.61894,34782.18359,6964.12598,16870.21844,4625.89959,31483.21094,7407.71533,1.21979,0.04257,1.31230,1.09654,1.62701,0.03786,1.72873,1.53074,2.00000,0.00000,2.00000,2.00000,-8.09588,0.90702,-5.44182,-8.87091,48.05375,0.58381,49.84733,46.35122,19.68911,0.36234,20.62406,18.76926,69.52708,2.10930,73.55397,65.10826,-2.69178,2.35459,2.58878,-13.97504,1.71861,0.17178,2.18841,1.12661,51.39684,3.04123,61.41838,44.70308,759.21176,170.87030,948.46881,296.15073,-589.72030,147.97485,-234.72142,-734.31976
8,3.53429913520813,3800,-5483.65266,-1082.67222,-5.64566,0.00148,3.53170,0.00107,-5532.18450,-5.00570,0.02835,-4.94040,-5.08983,1.66549,0.02890,1.71579,1.61624,-21.63990,0.80005,-19.74801,-23.52793,639.05626,26.78820,690.26630,590.30072,711.62291,61.62771,919.46674,569.52814,684.52179,57.45831,820.38135,561.68030,0.00245,0.00037,0.00363,0.00155,23619.24607,6552.27396,49071.14062,10293.93066,20810.14084,5792.73959,42494.31641,9000.78906,1.24308,0.04396,1.35963,1.11990,1.60885,0.04117,1.72400,1.50357,2.00000,0.00000,2.00000,2.00000,-8.13798,0.88675,-6.08140,-8.87091,48.45787,0.56501,49.99691,46.85298,19.47860,0.37967,20.37477,18.40977,69.57757,2.05246,73.05954,65.06466,-2.34995,2.29650,2.52209,-11.67888,1.75446,0.16943,2.18923,1.38300,51.59516,3.36099,64.49523,45.33836,731.14811,179.91683,948.46881,285.29883,-562.36729,152.52731,-205.73511,-734.31976
9,3.2483294010162354,4000,-5479.41396,-853.88857,-5.51137,0.00143,3.24578,0.00108,-5441.26558,-5.02339,0.02724,-4.96078,-5.10409,1.76893,0.03083,1.82260,1.71630,-24.35490,0.78897,-22.77386,-25.86386,736.29511,28.85470,795.55719,683.32953,847.40972,79.15683,1156.55945,672.20422,818.16102,65.93052,1014.31232,668.65179,0.00266,0.00043,0.00384,0.00141,30335.69943,9499.17230,56152.49219,12976.32715,26846.45373,7267.49254,49993.02734,11479.92871,1.26605,0.03733,1.41210,1.17524,1.59049,0.03712,1.68032,1.44129,2.00000,0.00000,2.00000,2.00000,-8.52955,1.29193,-5.84161,-10.40419,48.73415,0.49613,50.53996,47.45318,19.32111,0.32398,20.23583,18.00861,69.51323,2.14056,73.26308,65.06178,-2.35829,2.21809,1.48053,-9.54957,1.71494,0.16271,2.19013,1.21310,51.40438,2.98042,59.95586,45.28917,725.01388,182.88385,948.46881,296.09940,-562.91578,156.89005,-234.79163,-734.31976
