task,v_mean,v_std
forward_1,1.0184875836211607,0.05753305820176924
forward_2,1.9681934126562506,0.06176269850831968
forward_3,2.983741015454052,0.07269138758626333
forward_4,3.9881175264649147,0.07904284727161855
forward_5,4.991613670378835,0.06662211817332196
forward_6,5.987663081557158,0.07322297905430722
forward_7,6.969678590122585,0.07064446597070209
forward_8,7.988993824398764,0.06355077194343811
forward_9,8.978535413181266,0.06311840740312663
forward_10,9.939007526690656,0.11634375067488588
