task,v_mean,v_std
forward_1,0.9418527714618093,0.24216825426365002
forward_2,2.0085303410487727,0.23504191948675296
forward_3,2.944180283201331,0.2812771406623288
forward_4,3.9138874931274126,0.2644149287136952
forward_5,4.936713327500478,0.23835579787595199
forward_6,5.831489758971987,0.2747951008358958
forward_7,6.896624482472542,0.2790527187090231
forward_8,7.771323199348774,0.35250910551519743
forward_9,8.627672309531613,0.7310032685814644
jump,0.12947108533467783,0.37700936994887135
