task,v_mean,v_std
forward_1.5_mixed,0.1838199713766545,0.4695298003925582
forward_2.5_mixed,0.2928051480168324,0.46079367465409654
forward_3.5_mixed,2.81926810647506,0.5394521346988463
forward_4.5_mixed,2.8859763728892873,0.518111049466401
forward_5.5_mixed,0.3558963773520851,1.3510577264188703
forward_6.5_mixed,2.1320025226571735,1.0653524660887526
forward_7.5_mixed,0.33492992540153915,1.6795731132241076
forward_8.5_mixed,-0.12656891571271772,0.5566935257796297
forward_9.5_mixed,2.5292038385444657,3.0070522372030166
task,v_mean,v_std
forward_1.5_mixed,1.2588205724388708,0.2431538566904374
forward_2.5_mixed,2.2391727346086054,0.09928811738786199
forward_3.5_mixed,3.483221801438394,0.08949113536228258
forward_4.5_mixed,4.343500563236525,0.07584412949620518
forward_5.5_mixed,5.496369593640874,0.07009869352991999
forward_6.5_mixed,6.47537353675714,0.08135796677373393
forward_7.5_mixed,7.4940950105915025,0.06485197433844334
forward_8.5_mixed,8.5141964930123,0.0732542181482808
forward_9.5_mixed,9.487441354910887,0.08687758360300504
